Column1;Locatienaam;Eenheid;Plaats;Gemeente;Latitude;Longitude;reden 1;reden 2;reden 3;reden 4;Column11
39;07 Bosdreef x Boszoom;Rotterdam;Rotterdam;Rotterdam;51,945278;4,526389;;x;;x;
40;07 Botlekweg na truckpark HBR;Rotterdam;Rotterdam;Rotterdam;51,876145;4,261512;x;x;x;x;
41;07 Botlekweg thv Exxon HBR;Rotterdam;Rotterdam;Rotterdam;51,869600;4,303333;x;x;x;x;
42;07 Butaanweg HBR;Rotterdam;Rotterdam;Rotterdam;51,881623;4,381338;x;x;x;x;
44;07 Dirk v.d. Burgweg HvH;Rotterdam;Hoek van Holland;Rotterdam;51,991769;4,138184;;x;x;x;
45;07 Elbeweg HBR;Rotterdam;Rotterdam;Rotterdam;51,938199;4,13706;x;x;x;x;
46;07 Erasmusbrug NZ;Rotterdam;Rotterdam;Rotterdam;51,911944;4,481944;;x;x;x;
47;07 Erasmusbrug ZN;Rotterdam;Rotterdam;Rotterdam;51,911944;4,481944;;x;x;x;
49;07 Haakweg HvH;Rotterdam;Hoek van Holland;Rotterdam;51,977179;4,154804;;x;x;x;
50;07 Hoofdweg ri Cap.weg;Rotterdam;Rotterdam;Rotterdam;51,949167;4,552778;;x;;x;
52;07 Jan Olieslagerweg HBR;Rotterdam;Rotterdam;Rotterdam;51,873228;4,45443;x;x;x;x;
53;07 Korperweg HBR;Rotterdam;Rotterdam;Rotterdam;51,877278;4,4555;x;x;x;x;
56;07 Ln op Zuid x 2e Rosestr;Rotterdam;Rotterdam;Rotterdam;51,900596;4,511548;;x;x;x;
57;07 Maastunnel NZ;Rotterdam;Rotterdam;Rotterdam;51,905876;4,466805;;x;x;x;
0;07 Maastunnel ZN;Rotterdam;Rotterdam;Rotterdam;51,905906;4,466983;;x;x;x;
1;07 Matlingeweg Doenkade;Rotterdam;Rotterdam;Rotterdam;51,946869;4,40852;;x;x;x;
2;07 Matlingeweg Schiekade;Rotterdam;Rotterdam;Rotterdam;51,938183;4,411434;;x;x;x;
7;07 Moezelweg x Merwedeweg HBR;Rotterdam;Rotterdam;Rotterdam;51,92157;4,179033;x;x;x;x;
8;07 Moezelweg x Saarweg HBR;Rotterdam;Rotterdam;Rotterdam;51,902628;4,217321;x;x;x;x;
9;07 Neckarweg HBR;Rotterdam;Rotterdam;Rotterdam;51,90003;4,22006;x;x;x;x;
10;07 Noordoever Oostv.meer HBR;Rotterdam;Rotterdam;Rotterdam;51,932302;4,094241;x;x;x;x;
11;07 Oliphantweg HBR;Rotterdam;Rotterdam;Rotterdam;51,870513;4,26169;x;x;x;x;
12;07 Oud Pernisserweg HBR;Rotterdam;Rotterdam;Rotterdam;51,880206;4,389329;x;x;x;x;
13;07 Oude Maaspad HBR;Rotterdam;Rotterdam;Rotterdam;51,870349;4,32834;x;x;x;x;
14;07 Oude Maasweg HBR;Rotterdam;Rotterdam;Rotterdam;51,86989;4,311731;x;x;x;x;
16;07 Pr. Rooseveltweg Zevenkamp;Rotterdam;Rotterdam;Rotterdam;51,958889;4,548333;;x;;x;
17;07 Pr.Rooseveltweg Ommoord;Rotterdam;Rotterdam;Rotterdam;51,959444;4,549444;;x;;x;
18;07 Rijnweg HBR;Rotterdam;Rotterdam;Rotterdam;51,93627;4,150947;x;x;x;x;
19;07 Sluisjesdijk HBR;Rotterdam;Rotterdam;Rotterdam;51,894967;4,461153;x;x;x;x;
20;07 Spijk.brug ri Hoogvliet;Rotterdam;Hoogvliet;Rotterdam;51,858226;4,337013;;x;;x;
21;07 Spijk.brug ri Spijkenisse;Rotterdam;Hoogvliet;Rotterdam;51,858226;4,337013;;x;;x;
22;07 Stadh.weg x v. Aerssenlaan;Rotterdam;Rotterdam;Rotterdam;51,928889;4,454167;;x;;x;
23;07 Stadionweg x Burgerh.str;Rotterdam;Rotterdam;Rotterdam;51,89692;4,51972;;x;x;x;
